model,noise_range,task_order,replicate,resources,pairing_seed,noise_seed,source_path,sha256
anthropic/claude-sonnet-4.5,1,game,0,53.0,202608250,202608250,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_claude_n5_000_neutral_rep00.json,6432b0a5fa721d0d66f371ac57f8a1322c5455d0de2eee582717447c6b0df8a6
anthropic/claude-sonnet-4.5,1,myth_game,0,47.599999999999994,202608250,202608250,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json,4b92a43771e3716308c77957a885cabe996a8bea0a0aecf65af29205c12885e6
anthropic/claude-sonnet-4.5,1,game,1,51.5,202608251,202608251,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_claude_n5_001_neutral_rep01.json,6a001660865c6e084bf54458b99433e1e76ddd25ce840185ee89e49986064428
anthropic/claude-sonnet-4.5,1,myth_game,1,54.0,202608251,202608251,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_claude_n5_001_neutral_rep01_memtest_memory_primary_anything.json,6f03844abee2cffb69b3c4fe2c67c59f4a2ba27c4eb8043350c5e852dba51f6d
anthropic/claude-sonnet-4.5,1,game,2,55.0,202608252,202608252,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_claude_n5_002_neutral_rep02.json,8364a91646fee23f94e4a8aae5fcf9f2f5a09ef24e282d198499873308b8e910
anthropic/claude-sonnet-4.5,1,myth_game,2,55.0,202608252,202608252,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_claude_n5_002_neutral_rep02_memtest_memory_primary_anything.json,f908bc6f91a3fc6168886345ca1e0eab42dda4d5cb2afa41be036cdaa3707889
anthropic/claude-sonnet-4.5,1,game,3,46.0,202608253,202608253,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_claude_n5_003_neutral_rep03.json,4eced7a4b4a16def2625748ac62ff59b53c63f775e45382ea01ae7631604e5f2
anthropic/claude-sonnet-4.5,1,myth_game,3,66.0,202608253,202608253,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_claude_n5_003_neutral_rep03_memtest_memory_primary_anything.json,ed7289df3473a65e7361c0de6bad76b5921dadb24c30760ddc9a9922352728ca
anthropic/claude-sonnet-4.5,1,game,4,46.5,202608254,202608254,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_claude_n5_004_neutral_rep04.json,0c32940ab8e546d991fc723728e5c59d04dafabbc2ff9a075f451b585d0dfd07
anthropic/claude-sonnet-4.5,1,myth_game,4,66.5,202608254,202608254,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json,79a692e0d9adefe0b0150d388d306835907db23141b773e84279be333d1d0448
anthropic/claude-sonnet-4.5,2,game,0,51.5,202608250,202608250,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_claude_n5_000_neutral_rep00.json,027081c39927cee5eaa3783c15b8105b953fd135ad1b54ad4cb15f58f230d1b6
anthropic/claude-sonnet-4.5,2,myth_game,0,64.5,202608250,202608250,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json,9266b31f9216c27fe5ee40eb0930a4fa62b30f925784557ede9c305ad9b67895
anthropic/claude-sonnet-4.5,2,game,1,44.5,202608251,202608251,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_claude_n5_001_neutral_rep01.json,9d2d856bc8c67d1401f9461b6683a50581abe92d5617cd9c11f3cf22008a61df
anthropic/claude-sonnet-4.5,2,myth_game,1,65.25,202608251,202608251,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_claude_n5_001_neutral_rep01_memtest_memory_primary_anything.json,dbf782b66ebce9aaf33df0848cf050f53b0a966513887ad3bdf4513862a76c18
anthropic/claude-sonnet-4.5,2,game,2,36.5,202608252,202608252,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_claude_n5_002_neutral_rep02.json,0b3165541124b257b3d3697f4da033c1ce6d6c9b801c310a06eb1cc35065431e
anthropic/claude-sonnet-4.5,2,myth_game,2,64.75,202608252,202608252,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_claude_n5_002_neutral_rep02_memtest_memory_primary_anything.json,1acf60e12cc6ee51bf154868a669fd86ba335de25ac799f3b6f73d0b67e90240
anthropic/claude-sonnet-4.5,2,game,3,45.0,202608253,202608253,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_claude_n5_003_neutral_rep03.json,4679cb5080909f3d2a1a233f92aad4ba2773a929391f694f9e428667f6440e0d
anthropic/claude-sonnet-4.5,2,myth_game,3,58.5,202608253,202608253,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_claude_n5_003_neutral_rep03_memtest_memory_primary_anything.json,bd0bb1801d9e175de2d690a69a29d3e8c2db26afc9acb6068a7cee1a355384ea
anthropic/claude-sonnet-4.5,2,game,4,41.7,202608254,202608254,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_claude_n5/claude-sonnet-4.5/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_claude_n5_004_neutral_rep04.json,caf46d2e7ca66ee9cf00f2a8154fafae4177567b6186ef416d0b61f13225fbc0
anthropic/claude-sonnet-4.5,2,myth_game,4,51.2,202608254,202608254,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json,49daffee86047b689f22667f243361b3a547e25c97d7d0444cd56417bbe65c6f
google/gemini-3.7-flash,0,game,0,75.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gemini_n5_000_neutral_rep00.json,9271a67031e679234563f40de0df5383bf66c284b5cf1101ba8dc5d272742597
google/gemini-3.7-flash,0,myth_game,0,75.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_000_neutral_rep00_memtest_memory_primary_anything.json,6d09776abe4e3bc926dfe8551a9912d8a092052668f35bda6668d5b7ae3813ec
google/gemini-3.7-flash,0,game,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gemini_n5_001_neutral_rep01.json,08e1c497eeca852d8a3576c6035d221af1d7fbab0f93e8c950b15f73f2c00471
google/gemini-3.7-flash,0,myth_game,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_001_neutral_rep01_memtest_memory_primary_anything.json,2aa629d65fbd6583936154f730677fac4d9234f6c35858f2d727d391709c9b7f
google/gemini-3.7-flash,0,game,2,75.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gemini_n5_002_neutral_rep02.json,748c9c79f0d51b98461043b567b10ffb4952f059a3bbcb713d7664adb4d2f481
google/gemini-3.7-flash,0,myth_game,2,75.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json,643b373194d8f02c7c48a1cbe191096bec8a3ce0db0bca2bc98047dbae3fe216
google/gemini-3.7-flash,0,game,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gemini_n5_003_neutral_rep03.json,fc1bf12cd0a11281e5f87b3b4560218ed2f55663e73f3a373aa76873e8519a05
google/gemini-3.7-flash,0,myth_game,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_003_neutral_rep03_memtest_memory_primary_anything.json,8767923e83ff22b7691c574173d26ff1677215ac78086ca8ce3919f4fad9a277
google/gemini-3.7-flash,0,game,4,75.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gemini_n5_004_neutral_rep04.json,588768fefbd699f23eb95d4b4010ae5d813f90113c225f0ad024d5ca66376cc8
google/gemini-3.7-flash,0,myth_game,4,75.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json,d7dbfb263763752caec41a726eb63846c577d9809d69cb092a73f3262ffe9e21
google/gemini-3.7-flash,1,game,0,75.0,202608250,202608250,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_000_neutral_rep00.json,e15e74f00834732d923322ad834bc3dfe7699995b53a0e69cd27be8a00180fb9
google/gemini-3.7-flash,1,myth_game,0,75.0,202608250,202608250,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_000_neutral_rep00_memtest_memory_primary_anything.json,59a016f1858800bac67ff86d70abd0b700c9d31c8b4de2460203f879276a4deb
google/gemini-3.7-flash,1,game,1,75.0,202608251,202608251,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_001_neutral_rep01.json,29787d81191346c5326c35aec9adc9d36b43a7bae559c5ca5910d732ac56dd6d
google/gemini-3.7-flash,1,myth_game,1,75.0,202608251,202608251,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_001_neutral_rep01_memtest_memory_primary_anything.json,2a7e74d500d008cc63e1d17331e7f3624acb74a55a4a85859907ab07cb8c14b8
google/gemini-3.7-flash,1,game,2,75.0,202608252,202608252,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_002_neutral_rep02.json,8070fa708d328e4ffdd4678fbfcc0c792d53d6c0624a1771da3fda71f7b94ab9
google/gemini-3.7-flash,1,myth_game,2,75.0,202608252,202608252,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json,aee3199da2c45d2c3b593309557832faf51fe571d6a293c309ceff4ef5bac19d
google/gemini-3.7-flash,1,game,3,75.0,202608253,202608253,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_003_neutral_rep03.json,3e640676885176f58b336dd6fd0ed0c721fcfcdb98a10e521f1f7e69ed4b52df
google/gemini-3.7-flash,1,myth_game,3,75.0,202608253,202608253,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_003_neutral_rep03_memtest_memory_primary_anything.json,b3258c353a6fcb92b6ecb318c0637800414f6bdec8efef3e18dd2ae9f56e85c7
google/gemini-3.7-flash,1,game,4,75.0,202608254,202608254,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_004_neutral_rep04.json,9c6fb1d65271035edab6ae8a725d900e57aa920bf589b1f056e0d03d6439ca66
google/gemini-3.7-flash,1,myth_game,4,75.0,202608254,202608254,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json,5cdeb04de3c8483d8b484745fdbddefbf7b6241958231c5c7676ff36f3ce57cb
google/gemini-3.7-flash,2,game,0,75.0,202608250,202608250,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_gemini_n5_000_neutral_rep00.json,ce3e2bf5dec8b30723eb270b9fb591180c1f3509aaa12a87be060f08d42a28fc
google/gemini-3.7-flash,2,myth_game,0,75.0,202608250,202608250,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_gemini_n5_000_neutral_rep00_memtest_memory_primary_anything.json,3db45aa6a0c7f390283c94e90e28c9be4f78583560b51f0b13aba3dc64a8e575
google/gemini-3.7-flash,2,game,1,75.0,202608251,202608251,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_gemini_n5_001_neutral_rep01.json,0ad626985307b7f031829105d6d60f88c4717f84ddf7a62ded6fec96367beaab
google/gemini-3.7-flash,2,myth_game,1,75.0,202608251,202608251,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_gemini_n5_001_neutral_rep01_memtest_memory_primary_anything.json,d17c241ed77dac47bc12abaa63e89cb9bcf998fe254aa629167d7a56490ed952
google/gemini-3.7-flash,2,game,2,75.0,202608252,202608252,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_gemini_n5_002_neutral_rep02.json,7d8149100a5fdd46da4bce33fdd7d7a2288b86f128dbe85cf0ebf67537ea07b6
google/gemini-3.7-flash,2,myth_game,2,75.0,202608252,202608252,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json,fc44a47a1e4e9c6f0bc90517317b8363a1e467a1e75ef77bb837be4469497766
google/gemini-3.7-flash,2,game,3,75.0,202608253,202608253,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_gemini_n5_003_neutral_rep03.json,50d20ad4fa704dd73d698877b61c6cf38f6e2e2b353827eeb6e0464138a84e3a
google/gemini-3.7-flash,2,myth_game,3,75.0,202608253,202608253,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_gemini_n5_003_neutral_rep03_memtest_memory_primary_anything.json,5ebbc360bb6209e39d32fe2fd4ca64e1e9aae17d9a8d687af9e1016a40deaddb
google/gemini-3.7-flash,2,game,4,75.0,202608254,202608254,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative2_game_r3/noise_strength_bridge_dyad_game_gemini_n5_004_neutral_rep04.json,1bf8a7120d6a3299ea6d51d34ff3bc67b9bd1c3c6655be84317a20acbb02d6c6
google/gemini-3.7-flash,2,myth_game,4,75.0,202608254,202608254,data/json/noise_experiments/noise_strength_bridge_20260916/noise_strength_bridge_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative2_twotask_r3/noise_strength_bridge_dyad_myth_game_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json,a5a76e9e65668be91b6bab0d6bc8c81b6303d80af110a58209f8345e40522057
