population,agents,model,defection,task_order,n_runs,mean_final,std_final,max_final,min_final,best_rep,best_file
population,ordinary,gemini-3.7-flash,none,myth_game,5,75.0,0.0,75.0,75.0,2,negative_only_reasoning_rerun_population_myth_game_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json
population,ordinary,gemini-3.7-flash,defectors25,game,5,58.97,1.37,60.0,56.67,2,negative_only_reasoning_rerun_population_game_gemini_n5_007_neutral_rep02.json
population,ordinary,gemini-3.7-flash,defectors25,game_myth,5,58.5,1.09,60.0,57.5,2,negative_only_reasoning_rerun_population_game_myth_gemini_n5_007_neutral_rep02_memtest_memory_primary_anything.json
population,ordinary,gemini-3.7-flash,defectors25,myth_game,5,57.67,1.24,59.17,55.83,2,negative_only_reasoning_rerun_population_myth_game_gemini_n5_007_neutral_rep02_memtest_memory_primary_anything.json
population,ordinary,gemini-3.7-flash,defectors50,game,5,40.95,2.74,43.75,37.5,2,negative_only_reasoning_rerun_population_game_gemini_n5_012_neutral_rep02.json
population,ordinary,gemini-3.7-flash,defectors50,game_myth,5,39.25,3.01,42.5,35.0,3,negative_only_reasoning_rerun_population_game_myth_gemini_n5_013_neutral_rep03_memtest_memory_primary_anything.json
population,ordinary,gemini-3.7-flash,defectors50,myth_game,5,39.0,2.85,42.5,36.25,2,negative_only_reasoning_rerun_population_myth_game_gemini_n5_012_neutral_rep02_memtest_memory_primary_anything.json
population,ordinary,claude-sonnet-4.5,none,game,5,55.17,1.01,56.62,54.12,0,negative_only_reasoning_rerun_population_game_claude_n5_000_neutral_rep00.json
population,ordinary,claude-sonnet-4.5,none,game_myth,5,54.11,0.92,55.38,52.88,4,negative_only_reasoning_rerun_population_game_myth_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json
population,ordinary,claude-sonnet-4.5,none,myth_game,5,68.73,4.43,73.38,63.0,0,negative_only_reasoning_rerun_population_myth_game_claude_n5_000_neutral_rep00_memtest_memory_primary_anything.json
population,ordinary,claude-sonnet-4.5,defectors25,game,5,43.43,2.07,45.5,40.5,4,negative_only_reasoning_rerun_population_game_claude_n5_009_neutral_rep04.json
population,ordinary,claude-sonnet-4.5,defectors25,game_myth,5,46.88,1.36,48.42,44.67,2,negative_only_reasoning_rerun_population_game_myth_claude_n5_007_neutral_rep02_memtest_memory_primary_anything.json
population,ordinary,claude-sonnet-4.5,defectors25,myth_game,5,51.04,3.42,56.6,48.08,2,negative_only_reasoning_rerun_population_myth_game_claude_n5_007_neutral_rep02_memtest_memory_primary_anything.json
population,ordinary,claude-sonnet-4.5,defectors50,game,5,32.2,3.73,35.88,26.25,2,negative_only_reasoning_rerun_population_game_claude_n5_012_neutral_rep02.json
population,ordinary,claude-sonnet-4.5,defectors50,game_myth,5,33.48,2.59,37.0,30.75,2,negative_only_reasoning_rerun_population_game_myth_claude_n5_012_neutral_rep02_memtest_memory_primary_anything.json
population,ordinary,claude-sonnet-4.5,defectors50,myth_game,5,35.34,1.58,37.56,33.5,2,negative_only_reasoning_rerun_population_myth_game_claude_n5_012_neutral_rep02_memtest_memory_primary_anything.json
