metric,model,num_agents,treatment,agent_scope,task_order,round,mean,std,n_runs
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,9,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,8,control,all,myth_game,10,1.0,0.0,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,1,0.6,0.0,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,2,0.51,0.0742,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,3,0.56,0.0548,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,4,0.49,0.0742,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,5,0.52,0.1304,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,6,0.5,0.1,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,7,0.49,0.1342,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,8,0.47,0.0975,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,9,0.48,0.0837,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game,10,0.46,0.114,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,1,0.62,0.1095,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,2,0.58,0.0837,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,3,0.66,0.114,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,4,0.6,0.0707,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,5,0.63,0.1095,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,6,0.58,0.0837,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,7,0.64,0.114,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,8,0.58,0.0837,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,9,0.64,0.114,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,game_myth,10,0.586,0.0773,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,1,0.74,0.2408,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,2,0.6648,0.1871,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,3,0.64,0.1673,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,4,0.6348,0.1639,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,5,0.66,0.1342,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,6,0.6348,0.1639,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,7,0.66,0.1342,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,8,0.6348,0.1639,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,9,0.66,0.1342,5
send_fraction,anthropic/claude-sonnet-4.5,2,control,all,myth_game,10,0.6348,0.1639,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,1,0.62,0.0274,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,2,0.58,0.0411,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,3,0.6025,0.0379,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,4,0.5975,0.0256,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,5,0.6,0.0177,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,6,0.61,0.0285,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,7,0.605,0.0112,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,8,0.61,0.0224,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,9,0.605,0.0112,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game,10,0.605,0.0112,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,1,0.6,0.0,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,2,0.5575,0.0244,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,3,0.575,0.025,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,4,0.59,0.0285,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,5,0.59,0.0224,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,6,0.575,0.0306,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,7,0.585,0.0224,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,8,0.58,0.0326,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,9,0.575,0.0306,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,game_myth,10,0.595,0.0112,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,1,0.83,0.0837,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,2,0.788,0.0765,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,3,0.8695,0.0896,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,4,0.868,0.1009,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,5,0.873,0.1016,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,6,0.895,0.1006,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,7,0.9005,0.0894,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,8,0.91,0.0894,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,9,0.905,0.0908,5
send_fraction,anthropic/claude-sonnet-4.5,8,control,all,myth_game,10,0.908,0.087,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,1,0.2,0.4472,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,2,0.2,0.4472,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,3,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,4,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,5,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,6,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,7,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,8,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,9,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,random25,all,game,10,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,1,0.0,0.0,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,2,0.2,0.2828,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,3,0.1396,0.1336,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,4,0.36,0.4336,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,5,0.26,0.2408,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,6,0.5884,0.4318,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,7,0.1952,0.2744,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,8,0.5084,0.369,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,9,0.3552,0.2554,5
send_fraction,openai/gpt-5-nano,2,random25,all,game_myth,10,0.1,0.1732,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,1,0.52,0.502,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,2,0.6924,0.2337,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,3,0.52,0.502,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,4,0.1952,0.4365,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,5,0.2,0.4472,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,6,0.29,0.314,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,7,0.28,0.3899,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,8,0.4,0.2449,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,9,0.52,0.502,5
send_fraction,openai/gpt-5-nano,2,random25,all,myth_game,10,0.32,0.4604,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,1,0.03,0.0671,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,2,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,3,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,4,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,5,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,6,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,7,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,8,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,9,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game,10,0.0,0.0,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,1,0.09,0.1245,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,2,0.17,0.2197,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,3,0.25,0.2958,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,4,0.02,0.0447,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,5,0.12,0.1255,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,6,0.15,0.2236,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,7,0.19,0.3248,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,8,0.2,0.2092,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,9,0.0426,0.0953,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,game_myth,10,0.2,0.326,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,1,0.57,0.1095,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,2,0.295,0.2153,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,3,0.1794,0.0995,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,4,0.03,0.0671,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,5,0.13,0.1255,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,6,0.05,0.1118,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,7,0.05,0.1118,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,8,0.2,0.326,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,9,0.1,0.2236,5
send_fraction,openai/gpt-5-nano,8,defectors25,all,myth_game,10,0.1,0.2236,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,1,0.8,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,2,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,3,0.8,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,4,0.4,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,5,0.4,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,6,0.4,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,7,0.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,8,0.2,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,9,0.2,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game,10,0.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,1,0.8,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,2,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,3,0.6,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,4,0.6,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,5,0.2,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,6,0.4,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,7,0.2,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,8,0.4,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,9,0.4,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,game_myth,10,0.2,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,1,0.8,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,2,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,3,0.6,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,4,0.8,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,5,0.2,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,6,0.6,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,7,0.2,0.4472,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,8,1.0,0.0,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,9,0.4,0.5477,5
send_fraction,google/gemini-3.7-flash,2,random25,all,myth_game,10,0.4,0.5477,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,1,0.85,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,2,0.61,0.1294,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,3,0.6,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,4,0.55,0.1118,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,5,0.6,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,6,0.55,0.1118,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,7,0.6,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,8,0.6,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,9,0.5,0.0,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game,10,0.55,0.2092,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,1,0.85,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,2,0.65,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,3,0.65,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,4,0.55,0.1118,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,5,0.6,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,6,0.6,0.2236,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,7,0.6,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,8,0.6,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,9,0.65,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,game_myth,10,0.55,0.1118,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,1,0.85,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,2,0.65,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,3,0.65,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,4,0.55,0.1118,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,5,0.7,0.2092,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,6,0.65,0.2236,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,7,0.6,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,8,0.65,0.1369,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,9,0.55,0.1118,5
send_fraction,google/gemini-3.7-flash,8,defectors25,all,myth_game,10,0.55,0.2092,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,1,0.48,0.2683,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,2,0.56,0.0548,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,3,0.44,0.2608,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,4,0.31,0.2302,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,5,0.18,0.249,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,6,0.16,0.2302,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,7,0.18,0.249,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,8,0.18,0.249,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,9,0.16,0.2191,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game,10,0.04,0.0894,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,1,0.48,0.2683,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,2,0.54,0.0548,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,3,0.36,0.3362,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,4,0.48,0.295,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,5,0.26,0.3715,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,6,0.42,0.4266,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,7,0.2,0.4472,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,8,0.74,0.2408,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,9,0.6,0.3742,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,game_myth,10,0.22,0.3033,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,myth_game,1,0.8,0.4472,5
send_fraction,anthropic/claude-sonnet-4.5,2,random25,all,myth_game,2,0.82,0.1351,5
