population,agents,model,defection,task_order,final_cumulative_resources,source_path
dyad,all,gpt-5-nano,random25,game,25.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gpt_n5/gpt-5-nano/game/noisy2_crossmodel_negative_random25_game_r3/negative_only_reasoning_rerun_dyad_game_gpt_n5_009_neutral_rep04.json
dyad,all,gpt-5-nano,random25,game_myth,45.25999999999999,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_005_neutral_rep00_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,game_myth,38.910000000000004,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_006_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,game_myth,27.5,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_007_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,game_myth,38.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_008_neutral_rep03_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,game_myth,43.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_009_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,myth_game,34.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_005_neutral_rep00_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,myth_game,49.11,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_006_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,myth_game,54.76,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_007_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,myth_game,36.010000000000005,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_008_neutral_rep03_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random25,myth_game,49.56,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_009_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,game,25.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gpt_n5/gpt-5-nano/game/noisy2_crossmodel_negative_random50_game_r3/negative_only_reasoning_rerun_dyad_game_gpt_n5_010_neutral_rep00.json
dyad,all,gpt-5-nano,random50,game,25.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gpt_n5/gpt-5-nano/game/noisy2_crossmodel_negative_random50_game_r3/negative_only_reasoning_rerun_dyad_game_gpt_n5_011_neutral_rep01.json
dyad,all,gpt-5-nano,random50,game,25.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gpt_n5/gpt-5-nano/game/noisy2_crossmodel_negative_random50_game_r3/negative_only_reasoning_rerun_dyad_game_gpt_n5_012_neutral_rep02.json
dyad,all,gpt-5-nano,random50,game,25.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gpt_n5/gpt-5-nano/game/noisy2_crossmodel_negative_random50_game_r3/negative_only_reasoning_rerun_dyad_game_gpt_n5_013_neutral_rep03.json
dyad,all,gpt-5-nano,random50,game,25.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gpt_n5/gpt-5-nano/game/noisy2_crossmodel_negative_random50_game_r3/negative_only_reasoning_rerun_dyad_game_gpt_n5_014_neutral_rep04.json
dyad,all,gpt-5-nano,random50,game_myth,30.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_010_neutral_rep00_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,game_myth,27.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_011_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,game_myth,32.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_012_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,game_myth,27.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_013_neutral_rep03_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,game_myth,30.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gpt_n5_014_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,myth_game,30.5,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_010_neutral_rep00_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,myth_game,30.490000000000002,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_011_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,myth_game,34.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_012_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,myth_game,34.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_013_neutral_rep03_memtest_memory_primary_anything.json
dyad,all,gpt-5-nano,random50,myth_game,34.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/noisy2_crossmodel_negative_random50_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gpt_n5_014_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_000_neutral_rep00.json
dyad,all,gemini-3.7-flash,none,game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_001_neutral_rep01.json
dyad,all,gemini-3.7-flash,none,game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_002_neutral_rep02.json
dyad,all,gemini-3.7-flash,none,game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_003_neutral_rep03.json
dyad,all,gemini-3.7-flash,none,game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_004_neutral_rep04.json
dyad,all,gemini-3.7-flash,none,game_myth,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5_000_neutral_rep00_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,game_myth,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5_001_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,game_myth,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,game_myth,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5_003_neutral_rep03_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,game_myth,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_game_myth_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,myth_game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_000_neutral_rep00_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,myth_game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_001_neutral_rep01_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,myth_game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,myth_game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_003_neutral_rep03_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,none,myth_game,75.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy2_crossmodel_negative_twotask_r3/negative_only_reasoning_rerun_dyad_myth_game_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json
dyad,all,gemini-3.7-flash,random25,game,35.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_random25_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_005_neutral_rep00.json
dyad,all,gemini-3.7-flash,random25,game,40.0,/Users/ivar/Desktop/Research/AI_projects/LLM_evolution/nips-linguistic-evolution-toolkit/data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_dyad_game_gemini_n5/gemini-3.7-flash/game/noisy2_crossmodel_negative_random25_game_r3/negative_only_reasoning_rerun_dyad_game_gemini_n5_006_neutral_rep01.json
