setting,path,composition,task_order,round,send_fraction,return_ratio
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,1,1.0,0.0
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,2,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,3,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,4,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,5,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,6,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,7,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,8,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,9,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_gpt_n3/gemini-3.7-flash+gpt-5-nano/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_gpt_n3_002_neutral_rep04.json,Gemini+GPT,game,10,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,1,1.0,0.4666666666666667
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,2,0.8,0.4366666666666667
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,3,1.0,0.4666666666666667
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,4,0.8,0.37999999999999995
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,5,1.0,0.4666666666666667
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,6,0.8,0.4075
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,7,1.0,0.4666666666666667
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,8,0.8,0.45999999999999996
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,9,1.0,0.4666666666666667
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_000_neutral_rep01.json,Sonnet+Gemini,game,10,0.8,0.3825
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,1,1.0,0.4
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,2,0.8,0.45999999999999996
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,3,1.0,0.4666666666666667
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,4,0.9,0.40888888888888886
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,5,1.0,0.43333333333333335
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,6,0.85,0.4917647058823529
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,7,1.0,0.44666666666666666
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,8,0.86,0.46201550387596896
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,9,1.0,0.45
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_001_neutral_rep03.json,Sonnet+Gemini,game,10,0.8,0.455
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,1,1.0,0.444
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,2,0.8880000000000001,0.4864864864864865
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,3,1.0,0.47933333333333333
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,4,0.96,0.4666666666666666
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,5,1.0,0.48800000000000004
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,6,0.97,0.44123711340206184
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,7,1.0,0.4233333333333333
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,8,0.96,0.3979166666666667
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,9,1.0,0.49333333333333335
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gemini_sonnet_n3/gemini-3.7-flash+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gemini_sonnet_n3_002_neutral_rep05.json,Sonnet+Gemini,game,10,0.96,0.46388888888888885
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,1,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,2,1.0,0.5646666666666668
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,3,1.0,0.44933333333333336
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,4,1.0,0.04533333333333334
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,5,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,6,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,7,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,8,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,9,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_000_neutral_rep01.json,Gemini+GPT,game,10,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,1,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,2,1.0,0.0
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,3,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,4,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,5,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,6,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,7,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,8,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,9,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_001_neutral_rep03.json,Gemini+GPT,game,10,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,1,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,2,1.0,0.0
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,3,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,4,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,5,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,6,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,7,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,8,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,9,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_gemini_n3/gpt-5-nano+gemini-3.7-flash/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_gemini_n3_002_neutral_rep05.json,Gemini+GPT,game,10,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_sonnet_n3/gpt-5-nano+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_sonnet_n3_000_neutral_rep01.json,Sonnet+GPT,game,1,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_sonnet_n3/gpt-5-nano+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_sonnet_n3_000_neutral_rep01.json,Sonnet+GPT,game,2,0.4,0.0
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_sonnet_n3/gpt-5-nano+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_sonnet_n3_000_neutral_rep01.json,Sonnet+GPT,game,3,0.0,
dyad,data/json/noise_experiments/mixed_model_dyads_20260917/mixed_dyad_game_gpt_sonnet_n3/gpt-5-nano+claude-sonnet-4.5/game/noisy2_crossmodel_negative_game_r3/mixed_dyad_game_gpt_sonnet_n3_000_neutral_rep01.json,Sonnet+GPT,game,4,0.0,
