family,paths,distinct_bytes,model_labels,sample_path,sample_task_order,sample_protocol,caveat
curated_transcript_samples,150,50,anthropic/claude-sonnet-4.5,arabella_analyses/data/runs_json/8agent_named_history3_sonnet45/sonnet45_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything.json,"[""myth"", ""game""]","{""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10}",
defector_myth_circulation_20260821,10,10,google/gemini-3.1-flash-lite,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_myth_circulation_20260821/noise8i_defector_myth_circulation_gemini_n5/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_myth_circulation_gemini_n5_001_neutral_rep46_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
defector_myth_circulation_confirm_20260821,20,20,google/gemini-3.1-flash-lite,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_myth_circulation_confirm_20260821/noise8i_defector_myth_circulation_gemini_confirm_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_myth_circulation_gemini_confirm_n10_005_neutral_rep55_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
defector_myth_circulation_smoke_20260821,2,2,google/gemini-3.1-flash-lite,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_myth_circulation_smoke_20260821/noise8i_defector_myth_circulation_gemini_n5/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_myth_circulation_gemini_n5_000_neutral_rep45_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
defector_myth_game_crossmodel_20260821,20,20,google/gemini-3.1-flash-lite|openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_myth_game_crossmodel_20260821/noise8i_defector_myth_game_gemini_n5/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_myth_game_gemini_n5_005_neutral_rep30_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
defector_myth_game_crossmodel_confirm_20260821,40,40,google/gemini-3.1-flash-lite|openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_myth_game_crossmodel_confirm_20260821/noise8i_defector_myth_game_gpt_confirm_n10/gpt-5-nano/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_myth_game_gpt_confirm_n10_018_neutral_rep43_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
defector_punishment_factorial_off_gpt_n5_20260821,10,10,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_factorial_off_gpt_n5_20260821/noise8i_defector_punishment_factorial_off_gpt_n5/gpt-5-nano/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_punishment_factorial_off_gpt_n5_009_neutral_rep65_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
defector_punishment_factorial_off_provenance_gpt_n5_20260821,10,10,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_factorial_off_provenance_gpt_n5_20260821/noise8i_defector_punishment_factorial_off_gpt_n5/gpt-5-nano/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_punishment_factorial_off_gpt_n5_009_neutral_rep65_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
defector_punishment_gemini37_n3_20260823,12,12,google/gemini-3.7-flash,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_punishment_gemini37_n3_005_neutral_rep95_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
defector_punishment_gemini_availability_matched_n10_20260822,10,10,google/gemini-3.1-flash-lite,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_gemini_availability_matched_n10_20260822/noise8i_defector_punishment_gemini_availability_off_matched_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_punishment_gemini_availability_off_matched_n10_002_neutral_rep72_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
defector_punishment_gemini_confirmation_n10_20260821,10,10,google/gemini-3.1-flash-lite,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_004_neutral_rep74_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 9, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": true, ""seed_myth"": false, ""seed_reinject"": false}",
defector_punishment_gemini_factorial_confirmation_n10_20260822,40,40,google/gemini-3.1-flash-lite,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_punishment_gemini_factorial_confirmation_n10_018_neutral_rep88_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
defector_punishment_gemini_n3_20260821,6,6,google/gemini-3.1-flash-lite,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_gemini_n3_20260821/noise8i_defector_punishment_gemini_n3/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_control/noise8i_defector_punishment_gemini_n3_001_neutral_rep67_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 9, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": true, ""seed_myth"": false, ""seed_reinject"": false}",
defector_punishment_gemini_smoke_20260821,2,2,google/gemini-3.1-flash-lite,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_gemini_smoke_20260821/noise8i_defector_punishment_gemini_smoke/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_control/noise8i_defector_punishment_gemini_smoke_000_neutral_rep69_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 9, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": true, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
defector_punishment_gpt_n5_20260821,10,10,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_gpt_n5_20260821/noise8i_defector_punishment_gpt_n5/gpt-5-nano/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_control/noise8i_defector_punishment_gpt_n5_002_neutral_rep63_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 9, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": true, ""seed_myth"": false, ""seed_reinject"": false}",
defector_punishment_smoke_20260821,2,2,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/defector_punishment_smoke_20260821/noise8i_defector_punishment_gpt_smoke/gpt-5-nano/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_control/noise8i_defector_punishment_gpt_smoke_000_neutral_rep60_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 9, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": true, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
fmt_confound_20260904,10,10,anthropic/claude-sonnet-4.5,data/json/noise_experiments/fmt_confound_20260904/fmt_claude_defectors25_myth_game_json_only_n5/claude-sonnet-4.5/myth_game/noisy8_negative_defectors25_twotask_r3_json_only/fmt_claude_defectors25_myth_game_json_only_n5_003_neutral_rep03_myth_writing_later_rounds_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default"", ""myth_injection_mode"": ""partner"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""noise_semantics"": ""communication"", ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
fmt_smoke_20260904,1,1,anthropic/claude-haiku-4.5,data/json/noise_experiments/fmt_smoke_20260904/fmt_smoke_haiku_json_only/claude-haiku-4.5/myth_game/noisy8_negative_defectors25_twotask_r2_smoke_json_only/fmt_smoke_haiku_json_only_000_neutral_myth_writing_later_rounds_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default"", ""myth_injection_mode"": ""partner"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""noise_semantics"": ""communication"", ""num_agents"": 8, ""num_turns"": 2, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
gemini31_flashlite_8agent_directive_normative_r10_smoke,9,3,google/gemini-3.1-flash-lite,data/json/gemini31_flashlite_8agent_directive_normative_r10_smoke/gemini-3.1-flash-lite/game/gemini31_flashlite_8agent_directive_normative_r10_smoke_000_neutral.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10}",excluded/smoke/repair in name; do not pool
gemini31_flashlite_8agent_myth_directive_history3_r10_n5,15,5,google/gemini-3.1-flash-lite,data/json/gemini31_flashlite_8agent_myth_directive_history3_r10_n5/gemini-3.1-flash-lite/myth_game/gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything.json,"[""myth"", ""game""]","{""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10}",
gemini31_flashlite_8agent_noise_r10_smoke,9,3,google/gemini-3.1-flash-lite,data/json/noise_experiments/gemini31_flashlite_8agent_noise_r10_smoke/gemini31_flashlite_8agent_noise_negative2_informed_r10_smoke/gemini-3.1-flash-lite/game/noisy_negative_2_informed_myth_causal_10_8agents/gemini31_flashlite_8agent_noise_negative2_informed_r10_smoke_000_neutral.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 2.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10}",excluded/smoke/repair in name; do not pool
gemini37_flash_task_order_n3_20260823,9,9,google/gemini-3.7-flash,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_game/gemini-3.7-flash/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_gemini37_flash_n3_game_001_neutral_rep91.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
gpt55_rerun_20260909,12,12,openai/gpt-5.5-2026-04-23,data/json/noise_experiments/gpt55_rerun_20260909/r1/gpt55_gate_dyad_game_r1/gpt-5.5-2026-04-23/game/noisy2_crossmodel_negative_game_r3/gpt55_gate_dyad_game_r1_000_neutral_rep00.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""minimal"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""myth_injection_mode"": ""partner"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""noise_semantics"": ""communication"", ""num_agents"": 2, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
gpt5nano_8agent_myth_directive_history3_anon_r10_n5,15,5,openai/gpt-5-nano,data/json/gpt5nano_8agent_myth_directive_history3_anon_r10_n5/gpt-5-nano/myth_game/gpt5nano_8agent_myth_directive_history3_anon_r10_n5_004_neutral_rep04_myth_game_directive_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""default"", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
