model,num_agents,noise,task_order,replicate,resources,pairing_seed,noise_seed,source_path
anthropic/claude-sonnet-4.5,8,no_noise,game,0,54.875,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_claude_n5_000_neutral_rep00.json
openai/gpt-5-nano,8,no_noise,game,0,25.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_gpt_n5/gpt-5-nano/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_gpt_n5_000_neutral_rep00.json
google/gemini-3.7-flash,8,no_noise,game,0,75.0,202608250,202608250,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_gemini_n5_000_neutral_rep00.json
anthropic/claude-sonnet-4.5,2,no_noise,game_myth,1,55.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_claude_n5_001_neutral_rep01_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,myth_game,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_001_neutral_rep01_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,game_myth,1,49.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gpt_n5_001_neutral_rep01_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,myth_game,1,55.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gpt_n5_001_neutral_rep01_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,game_myth,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gemini_n5_001_neutral_rep01_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,myth_game,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_001_neutral_rep01_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,game_myth,1,55.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_claude_n5_001_neutral_rep01_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,myth_game,1,66.75,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_claude_n5_001_neutral_rep01_memtest_memory_primary_anything.json
openai/gpt-5-nano,8,no_noise,game_myth,1,40.5,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gpt_n5_001_neutral_rep01_memtest_memory_primary_anything.json
openai/gpt-5-nano,8,no_noise,myth_game,1,68.25,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_gpt_n5/gpt-5-nano/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_gpt_n5_001_neutral_rep01_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,game_myth,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gemini_n5_001_neutral_rep01_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,myth_game,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_gemini_n5_001_neutral_rep01_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,game,1,65.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_001_neutral_rep01.json
openai/gpt-5-nano,2,no_noise,game,1,25.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gpt_n5/gpt-5-nano/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gpt_n5_001_neutral_rep01.json
google/gemini-3.7-flash,2,no_noise,game,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gemini_n5_001_neutral_rep01.json
anthropic/claude-sonnet-4.5,8,no_noise,game,1,55.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_claude_n5_001_neutral_rep01.json
openai/gpt-5-nano,8,no_noise,game,1,25.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_gpt_n5/gpt-5-nano/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_gpt_n5_001_neutral_rep01.json
google/gemini-3.7-flash,8,no_noise,game,1,75.0,202608251,202608251,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_gemini_n5_001_neutral_rep01.json
anthropic/claude-sonnet-4.5,2,no_noise,game_myth,2,55.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_claude_n5_002_neutral_rep02_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,myth_game,2,55.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_002_neutral_rep02_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,game_myth,2,60.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gpt_n5_002_neutral_rep02_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,myth_game,2,62.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gpt_n5_002_neutral_rep02_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,game_myth,2,75.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,myth_game,2,75.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,game_myth,2,55.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_claude_n5_002_neutral_rep02_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,myth_game,2,67.5,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_claude_n5_002_neutral_rep02_memtest_memory_primary_anything.json
openai/gpt-5-nano,8,no_noise,game_myth,2,45.5,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gpt_n5_002_neutral_rep02_memtest_memory_primary_anything.json
openai/gpt-5-nano,8,no_noise,myth_game,2,69.5,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_gpt_n5/gpt-5-nano/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_gpt_n5_002_neutral_rep02_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,game_myth,2,75.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,myth_game,2,75.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_gemini_n5_002_neutral_rep02_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,game,2,55.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_002_neutral_rep02.json
openai/gpt-5-nano,2,no_noise,game,2,25.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gpt_n5/gpt-5-nano/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gpt_n5_002_neutral_rep02.json
google/gemini-3.7-flash,2,no_noise,game,2,75.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gemini_n5_002_neutral_rep02.json
anthropic/claude-sonnet-4.5,8,no_noise,game,2,55.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_claude_n5_002_neutral_rep02.json
openai/gpt-5-nano,8,no_noise,game,2,25.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_gpt_n5/gpt-5-nano/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_gpt_n5_002_neutral_rep02.json
google/gemini-3.7-flash,8,no_noise,game,2,75.0,202608252,202608252,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_gemini_n5_002_neutral_rep02.json
anthropic/claude-sonnet-4.5,2,no_noise,game_myth,3,69.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_claude_n5_003_neutral_rep03_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,myth_game,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_003_neutral_rep03_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,game_myth,3,63.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gpt_n5_003_neutral_rep03_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,myth_game,3,57.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gpt_n5_003_neutral_rep03_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,game_myth,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gemini_n5_003_neutral_rep03_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,myth_game,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_003_neutral_rep03_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,game_myth,3,55.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_claude_n5_003_neutral_rep03_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,myth_game,3,73.75,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_claude_n5_003_neutral_rep03_memtest_memory_primary_anything.json
openai/gpt-5-nano,8,no_noise,game_myth,3,50.75,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gpt_n5_003_neutral_rep03_memtest_memory_primary_anything.json
openai/gpt-5-nano,8,no_noise,myth_game,3,71.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_gpt_n5/gpt-5-nano/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_gpt_n5_003_neutral_rep03_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,game_myth,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gemini_n5_003_neutral_rep03_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,myth_game,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_gemini_n5_003_neutral_rep03_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,game,3,55.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_003_neutral_rep03.json
openai/gpt-5-nano,2,no_noise,game,3,25.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gpt_n5/gpt-5-nano/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gpt_n5_003_neutral_rep03.json
google/gemini-3.7-flash,2,no_noise,game,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_gemini_n5_003_neutral_rep03.json
anthropic/claude-sonnet-4.5,8,no_noise,game,3,55.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_claude_n5_003_neutral_rep03.json
openai/gpt-5-nano,8,no_noise,game,3,25.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_gpt_n5/gpt-5-nano/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_gpt_n5_003_neutral_rep03.json
google/gemini-3.7-flash,8,no_noise,game,3,75.0,202608253,202608253,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_gemini_n5/gemini-3.7-flash/game/figure2_noisy8_crossmodel_negative_game_r3_no_noise/figure2_population_game_gemini_n5_003_neutral_rep03.json
anthropic/claude-sonnet-4.5,2,no_noise,game_myth,4,69.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,myth_game,4,75.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,game_myth,4,60.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gpt_n5_004_neutral_rep04_memtest_memory_primary_anything.json
openai/gpt-5-nano,2,no_noise,myth_game,4,66.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gpt_n5/gpt-5-nano/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gpt_n5_004_neutral_rep04_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,game_myth,4,75.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_game_myth_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json
google/gemini-3.7-flash,2,no_noise,myth_game,4,75.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy2_crossmodel_negative_twotask_r3_no_noise/figure2_dyad_myth_game_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,game_myth,4,55.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_claude_n5/claude-sonnet-4.5/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,8,no_noise,myth_game,4,73.75,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_claude_n5/claude-sonnet-4.5/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_claude_n5_004_neutral_rep04_memtest_memory_primary_anything.json
openai/gpt-5-nano,8,no_noise,game_myth,4,28.75,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gpt_n5/gpt-5-nano/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gpt_n5_004_neutral_rep04_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,game_myth,4,75.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_game_myth_gemini_n5/gemini-3.7-flash/game_myth/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_game_myth_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json
google/gemini-3.7-flash,8,no_noise,myth_game,4,75.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_population_myth_game_gemini_n5/gemini-3.7-flash/myth_game/figure2_noisy8_crossmodel_negative_twotask_r3_no_noise/figure2_population_myth_game_gemini_n5_004_neutral_rep04_memtest_memory_primary_anything.json
anthropic/claude-sonnet-4.5,2,no_noise,game,4,55.0,202608254,202608254,data/json/noise_experiments/figure2_no_defectors_20260915/figure2_dyad_game_claude_n5/claude-sonnet-4.5/game/figure2_noisy2_crossmodel_negative_game_r3_no_noise/figure2_dyad_game_claude_n5_004_neutral_rep04.json
