setting,family,task_order,round,share_be generous,share_be fair,share_be cautious,n_myths
2-agent mixed,Sonnet,myth_game,1,0.5833333333333334,0.4166666666666667,0.0,12
2-agent mixed,Sonnet,myth_game,2,0.75,0.25,0.0,12
2-agent mixed,Sonnet,myth_game,3,0.4166666666666667,0.5833333333333334,0.0,12
2-agent mixed,Sonnet,myth_game,4,0.4166666666666667,0.4166666666666667,0.16666666666666666,12
2-agent mixed,Sonnet,myth_game,5,0.5833333333333334,0.4166666666666667,0.0,12
2-agent mixed,Sonnet,myth_game,6,0.5833333333333334,0.4166666666666667,0.0,12
2-agent mixed,Sonnet,myth_game,7,0.5833333333333334,0.4166666666666667,0.0,12
2-agent mixed,Sonnet,myth_game,8,0.5,0.4166666666666667,0.08333333333333333,12
2-agent mixed,Sonnet,myth_game,9,0.5,0.4166666666666667,0.08333333333333333,12
2-agent mixed,Sonnet,myth_game,10,0.75,0.16666666666666666,0.08333333333333333,12
8-agent homogeneous,GPT,game_myth,1,0.325,0.475,0.2,40
8-agent homogeneous,GPT,game_myth,2,0.1,0.775,0.125,40
8-agent homogeneous,GPT,game_myth,3,0.15,0.75,0.1,40
8-agent homogeneous,GPT,game_myth,4,0.225,0.55,0.225,40
8-agent homogeneous,GPT,game_myth,5,0.25,0.65,0.1,40
8-agent homogeneous,GPT,game_myth,6,0.175,0.75,0.075,40
8-agent homogeneous,GPT,game_myth,7,0.15,0.7,0.15,40
8-agent homogeneous,GPT,game_myth,8,0.175,0.675,0.15,40
8-agent homogeneous,GPT,game_myth,9,0.175,0.7,0.125,40
8-agent homogeneous,GPT,game_myth,10,0.15,0.65,0.2,40
8-agent homogeneous,GPT,myth_game,1,0.3,0.6,0.1,40
8-agent homogeneous,GPT,myth_game,2,0.25,0.525,0.225,40
8-agent homogeneous,GPT,myth_game,3,0.125,0.675,0.2,40
8-agent homogeneous,GPT,myth_game,4,0.2,0.575,0.225,40
8-agent homogeneous,GPT,myth_game,5,0.2,0.65,0.15,40
8-agent homogeneous,GPT,myth_game,6,0.15,0.725,0.125,40
8-agent homogeneous,GPT,myth_game,7,0.225,0.575,0.2,40
8-agent homogeneous,GPT,myth_game,8,0.25,0.55,0.2,40
8-agent homogeneous,GPT,myth_game,9,0.275,0.5,0.225,40
8-agent homogeneous,GPT,myth_game,10,0.325,0.375,0.3,40
8-agent homogeneous,Gemini,game_myth,1,0.775,0.225,0.0,40
8-agent homogeneous,Gemini,game_myth,2,0.825,0.175,0.0,40
8-agent homogeneous,Gemini,game_myth,3,0.85,0.15,0.0,40
8-agent homogeneous,Gemini,game_myth,4,0.825,0.175,0.0,40
8-agent homogeneous,Gemini,game_myth,5,0.75,0.25,0.0,40
8-agent homogeneous,Gemini,game_myth,6,0.85,0.15,0.0,40
8-agent homogeneous,Gemini,game_myth,7,0.7,0.3,0.0,40
8-agent homogeneous,Gemini,game_myth,8,0.725,0.275,0.0,40
8-agent homogeneous,Gemini,game_myth,9,0.925,0.075,0.0,40
8-agent homogeneous,Gemini,game_myth,10,0.875,0.125,0.0,40
8-agent homogeneous,Gemini,myth_game,1,0.9,0.1,0.0,40
8-agent homogeneous,Gemini,myth_game,2,0.875,0.125,0.0,40
8-agent homogeneous,Gemini,myth_game,3,0.925,0.075,0.0,40
8-agent homogeneous,Gemini,myth_game,4,0.8,0.2,0.0,40
8-agent homogeneous,Gemini,myth_game,5,0.75,0.25,0.0,40
8-agent homogeneous,Gemini,myth_game,6,0.775,0.225,0.0,40
8-agent homogeneous,Gemini,myth_game,7,0.825,0.175,0.0,40
8-agent homogeneous,Gemini,myth_game,8,0.75,0.25,0.0,40
8-agent homogeneous,Gemini,myth_game,9,0.825,0.175,0.0,40
8-agent homogeneous,Gemini,myth_game,10,0.825,0.175,0.0,40
8-agent homogeneous,Sonnet,game_myth,1,0.3,0.625,0.075,40
8-agent homogeneous,Sonnet,game_myth,2,0.15,0.8,0.05,40
8-agent homogeneous,Sonnet,game_myth,3,0.15,0.775,0.075,40
8-agent homogeneous,Sonnet,game_myth,4,0.175,0.775,0.05,40
8-agent homogeneous,Sonnet,game_myth,5,0.15,0.825,0.025,40
8-agent homogeneous,Sonnet,game_myth,6,0.225,0.75,0.025,40
8-agent homogeneous,Sonnet,game_myth,7,0.275,0.7,0.025,40
8-agent homogeneous,Sonnet,game_myth,8,0.25,0.75,0.0,40
8-agent homogeneous,Sonnet,game_myth,9,0.3,0.7,0.0,40
8-agent homogeneous,Sonnet,game_myth,10,0.325,0.65,0.025,40
8-agent homogeneous,Sonnet,myth_game,1,0.775,0.225,0.0,40
8-agent homogeneous,Sonnet,myth_game,2,0.75,0.25,0.0,40
8-agent homogeneous,Sonnet,myth_game,3,0.65,0.35,0.0,40
8-agent homogeneous,Sonnet,myth_game,4,0.6,0.375,0.025,40
8-agent homogeneous,Sonnet,myth_game,5,0.55,0.45,0.0,40
8-agent homogeneous,Sonnet,myth_game,6,0.725,0.275,0.0,40
8-agent homogeneous,Sonnet,myth_game,7,0.625,0.375,0.0,40
8-agent homogeneous,Sonnet,myth_game,8,0.625,0.375,0.0,40
8-agent homogeneous,Sonnet,myth_game,9,0.6,0.375,0.025,40
8-agent homogeneous,Sonnet,myth_game,10,0.55,0.425,0.025,40
8-agent mixed,GPT,game_myth,1,0.375,0.575,0.05,120
8-agent mixed,GPT,game_myth,2,0.30833333333333335,0.5583333333333333,0.13333333333333333,120
8-agent mixed,GPT,game_myth,3,0.275,0.6416666666666667,0.08333333333333333,120
8-agent mixed,GPT,game_myth,4,0.25833333333333336,0.625,0.11666666666666667,120
8-agent mixed,GPT,game_myth,5,0.2833333333333333,0.5833333333333334,0.13333333333333333,120
8-agent mixed,GPT,game_myth,6,0.18333333333333332,0.6833333333333333,0.13333333333333333,120
8-agent mixed,GPT,game_myth,7,0.225,0.6666666666666666,0.10833333333333334,120
8-agent mixed,GPT,game_myth,8,0.225,0.6166666666666667,0.15833333333333333,120
8-agent mixed,GPT,game_myth,9,0.25833333333333336,0.5666666666666667,0.175,120
8-agent mixed,GPT,game_myth,10,0.25833333333333336,0.55,0.19166666666666668,120
8-agent mixed,GPT,myth_game,1,0.325,0.6,0.075,120
8-agent mixed,GPT,myth_game,2,0.23333333333333334,0.6666666666666666,0.1,120
8-agent mixed,GPT,myth_game,3,0.25833333333333336,0.675,0.06666666666666667,120
8-agent mixed,GPT,myth_game,4,0.35833333333333334,0.525,0.11666666666666667,120
8-agent mixed,GPT,myth_game,5,0.375,0.5333333333333333,0.09166666666666666,120
8-agent mixed,GPT,myth_game,6,0.35,0.525,0.125,120
8-agent mixed,GPT,myth_game,7,0.31666666666666665,0.575,0.10833333333333334,120
8-agent mixed,GPT,myth_game,8,0.30833333333333335,0.6,0.09166666666666666,120
8-agent mixed,GPT,myth_game,9,0.3,0.6,0.1,120
8-agent mixed,GPT,myth_game,10,0.30833333333333335,0.5916666666666667,0.1,120
8-agent mixed,Gemini,game_myth,1,0.9428571428571428,0.05714285714285714,0.0,35
8-agent mixed,Gemini,game_myth,2,0.7428571428571429,0.2571428571428571,0.0,35
8-agent mixed,Gemini,game_myth,3,0.8285714285714286,0.17142857142857143,0.0,35
8-agent mixed,Gemini,game_myth,4,0.7714285714285715,0.2,0.02857142857142857,35
8-agent mixed,Gemini,game_myth,5,0.7142857142857143,0.2857142857142857,0.0,35
8-agent mixed,Gemini,game_myth,6,0.6571428571428571,0.34285714285714286,0.0,35
8-agent mixed,Gemini,game_myth,7,0.6857142857142857,0.3142857142857143,0.0,35
8-agent mixed,Gemini,game_myth,8,0.5428571428571428,0.45714285714285713,0.0,35
8-agent mixed,Gemini,game_myth,9,0.6285714285714286,0.37142857142857144,0.0,35
8-agent mixed,Gemini,game_myth,10,0.45714285714285713,0.5428571428571428,0.0,35
8-agent mixed,Gemini,myth_game,1,0.9428571428571428,0.05714285714285714,0.0,35
8-agent mixed,Gemini,myth_game,2,0.9428571428571428,0.05714285714285714,0.0,35
8-agent mixed,Gemini,myth_game,3,0.8285714285714286,0.17142857142857143,0.0,35
8-agent mixed,Gemini,myth_game,4,0.8,0.2,0.0,35
8-agent mixed,Gemini,myth_game,5,0.8,0.2,0.0,35
8-agent mixed,Gemini,myth_game,6,0.7428571428571429,0.2571428571428571,0.0,35
8-agent mixed,Gemini,myth_game,7,0.6571428571428571,0.34285714285714286,0.0,35
8-agent mixed,Gemini,myth_game,8,0.5714285714285714,0.42857142857142855,0.0,35
8-agent mixed,Gemini,myth_game,9,0.6,0.4,0.0,35
8-agent mixed,Gemini,myth_game,10,0.5714285714285714,0.42857142857142855,0.0,35
8-agent mixed,Sonnet,game_myth,1,0.43529411764705883,0.49411764705882355,0.07058823529411765,85
8-agent mixed,Sonnet,game_myth,2,0.38823529411764707,0.4823529411764706,0.12941176470588237,85
8-agent mixed,Sonnet,game_myth,3,0.3058823529411765,0.5647058823529412,0.12941176470588237,85
8-agent mixed,Sonnet,game_myth,4,0.2235294117647059,0.611764705882353,0.16470588235294117,85
8-agent mixed,Sonnet,game_myth,5,0.1411764705882353,0.7764705882352941,0.08235294117647059,85
8-agent mixed,Sonnet,game_myth,6,0.16470588235294117,0.7647058823529411,0.07058823529411765,85
8-agent mixed,Sonnet,game_myth,7,0.1411764705882353,0.788235294117647,0.07058823529411765,85
8-agent mixed,Sonnet,game_myth,8,0.16470588235294117,0.7411764705882353,0.09411764705882353,85
8-agent mixed,Sonnet,game_myth,9,0.09411764705882353,0.8823529411764706,0.023529411764705882,85
8-agent mixed,Sonnet,game_myth,10,0.18823529411764706,0.788235294117647,0.023529411764705882,85
8-agent mixed,Sonnet,myth_game,1,0.7764705882352941,0.2235294117647059,0.0,85
8-agent mixed,Sonnet,myth_game,2,0.6235294117647059,0.32941176470588235,0.047058823529411764,85
8-agent mixed,Sonnet,myth_game,3,0.4588235294117647,0.5058823529411764,0.03529411764705882,85
8-agent mixed,Sonnet,myth_game,4,0.43529411764705883,0.5294117647058824,0.03529411764705882,85
8-agent mixed,Sonnet,myth_game,5,0.3764705882352941,0.5882352941176471,0.03529411764705882,85
8-agent mixed,Sonnet,myth_game,6,0.3058823529411765,0.6588235294117647,0.03529411764705882,85
8-agent mixed,Sonnet,myth_game,7,0.32941176470588235,0.6470588235294118,0.023529411764705882,85
8-agent mixed,Sonnet,myth_game,8,0.3058823529411765,0.6588235294117647,0.03529411764705882,85
8-agent mixed,Sonnet,myth_game,9,0.23529411764705882,0.7529411764705882,0.011764705882352941,85
8-agent mixed,Sonnet,myth_game,10,0.2235294117647059,0.7529411764705882,0.023529411764705882,85
